Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
5US2;X-RAY DIFFRACTION;21;1,9;
5USA;X-RAY DIFFRACTION;27;1,8;
5USE;X-RAY DIFFRACTION;32;1,73;
5USG;X-RAY DIFFRACTION;76;1,7;
5UUF;X-RAY DIFFRACTION;314;1,612;
5UUG;X-RAY DIFFRACTION;391;1,712;
5UUH;X-RAY DIFFRACTION;353;1,569;
5UX0;X-RAY DIFFRACTION;;3,197;
5UZV;X-RAY DIFFRACTION;125;2,45;
5V04;X-RAY DIFFRACTION;51;2,65;
5V05;X-RAY DIFFRACTION;54;2,902;
5V06;X-RAY DIFFRACTION;21;2,75;
5V07;X-RAY DIFFRACTION;132;2,15;
5V08;X-RAY DIFFRACTION;41;2,812;
5V09;X-RAY DIFFRACTION;99;2,75;
5V0A;X-RAY DIFFRACTION;96;2,38;
5V0B;X-RAY DIFFRACTION;83;2,63;
5V0C;X-RAY DIFFRACTION;55;2,58;
5V0D;X-RAY DIFFRACTION;70;2,63;
5V0E;X-RAY DIFFRACTION;54;2,744;
5V0L;X-RAY DIFFRACTION;;4;
5V0Q;X-RAY DIFFRACTION;63;2,4;
5V1F;X-RAY DIFFRACTION;46;2,181;
5V1G;X-RAY DIFFRACTION;439;1,798;
5V1H;X-RAY DIFFRACTION;431;1,946;
5V1I;X-RAY DIFFRACTION;235;2,035;
5V1J;X-RAY DIFFRACTION;32;2,616;
5V1N;X-RAY DIFFRACTION;305;2,005;
5V1O;X-RAY DIFFRACTION;333;1,801;
5V1P;X-RAY DIFFRACTION;278;1,991;
5V1R;X-RAY DIFFRACTION;230;2,077;
5V3G;X-RAY DIFFRACTION;116;2,416;
5V3J;X-RAY DIFFRACTION;358;2,064;
5V3M;X-RAY DIFFRACTION;139;2,091;
5V8F;ELECTRON MICROSCOPY;;3,9;
5V9X;X-RAY DIFFRACTION;18;2,797;
5VA0;X-RAY DIFFRACTION;42;2,295;
5VA7;X-RAY DIFFRACTION;47;2,153;
5VAJ;X-RAY DIFFRACTION;214;1,95;
5VBS;X-RAY DIFFRACTION;188;1,749;
5VC8;X-RAY DIFFRACTION;106;1,8;
5VC9;X-RAY DIFFRACTION;30;2,1;
5VEZ;X-RAY DIFFRACTION;253;2,039;
5VFX;X-RAY DIFFRACTION;27;2,81;
5VHE;X-RAY DIFFRACTION;;3,793;
5VHV;X-RAY DIFFRACTION;1275;1,799;
5VI0;X-RAY DIFFRACTION;529;2,396;
5VI5;X-RAY DIFFRACTION;2;3,196;
5VI8;X-RAY DIFFRACTION;109;2,76;
5VL9;X-RAY DIFFRACTION;266;2,16;
5VMU;X-RAY DIFFRACTION;27;2,346;
5VMV;X-RAY DIFFRACTION;76;2,313;
5VMW;X-RAY DIFFRACTION;40;2,397;
5VMX;X-RAY DIFFRACTION;101;2,05;
5VMY;X-RAY DIFFRACTION;95;2,002;
5VMZ;X-RAY DIFFRACTION;84;2,319;
5VO8;X-RAY DIFFRACTION;;3,3;
5VOI;X-RAY DIFFRACTION;;2,8;
5VPE;X-RAY DIFFRACTION;230;2,053;
5VPF;X-RAY DIFFRACTION;71;2,694;
5VRW;X-RAY DIFFRACTION;48;2,58;
5VRX;X-RAY DIFFRACTION;136;2,2;
5VRY;X-RAY DIFFRACTION;305;1,9;
5VRZ;X-RAY DIFFRACTION;221;2,05;
5VS0;X-RAY DIFFRACTION;145;2,1;
5VS1;X-RAY DIFFRACTION;50;2,5;
5VS2;X-RAY DIFFRACTION;147;2,33;
5VS3;X-RAY DIFFRACTION;337;1,7;
5VS4;X-RAY DIFFRACTION;340;1,87;
5VU6;X-RAY DIFFRACTION;;3;
5VU7;X-RAY DIFFRACTION;;2,72;
5VU8;X-RAY DIFFRACTION;1;3,2;
5VU9;X-RAY DIFFRACTION;347;2,05;
5VVJ;X-RAY DIFFRACTION;;3,89;
5VVK;X-RAY DIFFRACTION;;2,9;
5VVL;X-RAY DIFFRACTION;;3,31;
5VVR;ELECTRON MICROSCOPY;;5,8;
5VVS;ELECTRON MICROSCOPY;;6,4;
5VXN;X-RAY DIFFRACTION;12;3,375;
5VZ7;X-RAY DIFFRACTION;416;1,551;
5VZ8;X-RAY DIFFRACTION;368;1,601;
5VZ9;X-RAY DIFFRACTION;448;1,65;
5VZA;X-RAY DIFFRACTION;437;1,501;
5VZB;X-RAY DIFFRACTION;396;1,5;
5VZC;X-RAY DIFFRACTION;451;1,552;
5VZD;X-RAY DIFFRACTION;387;1,602;
5VZE;X-RAY DIFFRACTION;373;1,506;
5VZF;X-RAY DIFFRACTION;412;1,65;
5VZG;X-RAY DIFFRACTION;309;1,85;
5VZH;X-RAY DIFFRACTION;273;1,95;
5VZI;X-RAY DIFFRACTION;456;1,5;
5W0U;X-RAY DIFFRACTION;2;2,9;
5W1C;X-RAY DIFFRACTION;2;3,18;
5W2A;X-RAY DIFFRACTION;28;2,9;
5W2C;X-RAY DIFFRACTION;213;2,5;
5W2M;X-RAY DIFFRACTION;;3,7;
5W34;X-RAY DIFFRACTION;;2,95;
5W35;X-RAY DIFFRACTION;;3,31;
5W36;X-RAY DIFFRACTION;47;2,46;
5W43;X-RAY DIFFRACTION;;3,15;
5W4U;X-RAY DIFFRACTION;;3,6;
5W51;X-RAY DIFFRACTION;;3,404;
5W5Y;ELECTRON MICROSCOPY;;3,8;
5W64;ELECTRON MICROSCOPY;;4,2;
5W65;ELECTRON MICROSCOPY;;4,3;
5W66;ELECTRON MICROSCOPY;;3,9;
5W6K;X-RAY DIFFRACTION;167;2,339;
5W6Q;X-RAY DIFFRACTION;295;2,66;
5W7G;ELECTRON MICROSCOPY;;4,5;
5W7N;X-RAY DIFFRACTION;48;1,8;
5W7O;X-RAY DIFFRACTION;56;1,75;
5W9Q;X-RAY DIFFRACTION;46;1,8;
5W9S;X-RAY DIFFRACTION;12;2,1;
5WC9;X-RAY DIFFRACTION;;3,15;
5WCU;X-RAY DIFFRACTION;;5,53;
5WFE;ELECTRON MICROSCOPY;;3,64;
5WJQ;X-RAY DIFFRACTION;31;2,794;
5WJR;X-RAY DIFFRACTION;70;1,7;
5WM1;X-RAY DIFFRACTION;340;1,85;
5WM8;X-RAY DIFFRACTION;311;1,92;
5WMB;X-RAY DIFFRACTION;161;2,25;
5WN0;X-RAY DIFFRACTION;69;2,6;
5WN1;X-RAY DIFFRACTION;165;2,3;
5WN2;X-RAY DIFFRACTION;243;2,288;
5WN3;X-RAY DIFFRACTION;243;2;
5WN4;X-RAY DIFFRACTION;182;2,1;
5WN5;X-RAY DIFFRACTION;159;2,2;
5WNX;X-RAY DIFFRACTION;7;2,55;
5WNY;X-RAY DIFFRACTION;243;2,1;
5WNZ;X-RAY DIFFRACTION;88;2,2;
5WO0;X-RAY DIFFRACTION;354;1,6;
5WTI;X-RAY DIFFRACTION;107;2,682;
5WVW;X-RAY DIFFRACTION;296;1,8;
5WVY;X-RAY DIFFRACTION;210;2;
5WVZ;X-RAY DIFFRACTION;35;2,3;
5WWC;X-RAY DIFFRACTION;85;1,9;
5WX9;X-RAY DIFFRACTION;338;1,76;
5X07;X-RAY DIFFRACTION;;2,796;
5X0X;ELECTRON MICROSCOPY;;3,97;
5X0Y;ELECTRON MICROSCOPY;;4,69;
5X11;X-RAY DIFFRACTION;17;2,65;
5X21;X-RAY DIFFRACTION;35;3,323;
5X22;X-RAY DIFFRACTION;;3,35;
5X2G;X-RAY DIFFRACTION;319;2,4;
5X2H;X-RAY DIFFRACTION;275;2,3;
5X5L;X-RAY DIFFRACTION;7;2,75;
5X6D;X-RAY DIFFRACTION;;2,94;
5X6E;X-RAY DIFFRACTION;;2,99;
5X6G;X-RAY DIFFRACTION;;3,05;
5X6H;X-RAY DIFFRACTION;;3,1;
5X6M;X-RAY DIFFRACTION;;3,2;
5X7X;X-RAY DIFFRACTION;436;2,184;
5XF3;X-RAY DIFFRACTION;;2,6;
5XF4;X-RAY DIFFRACTION;;2,87;
5XF5;X-RAY DIFFRACTION;;2,82;
5XF6;X-RAY DIFFRACTION;22;2,63;
5XFP;X-RAY DIFFRACTION;190;2,3;
5XFQ;X-RAY DIFFRACTION;56;2,4;
5XFR;X-RAY DIFFRACTION;331;2,25;
5XH6;X-RAY DIFFRACTION;659;2;
5XH7;X-RAY DIFFRACTION;683;2;
5XM0;X-RAY DIFFRACTION;12;2,874;
5XM1;X-RAY DIFFRACTION;;3,45;
5XM8;X-RAY DIFFRACTION;20;2,55;
5XM9;X-RAY DIFFRACTION;;3,053;
5XMA;X-RAY DIFFRACTION;;3,8;
5XN1;X-RAY DIFFRACTION;269;2,446;
5XOG;X-RAY DIFFRACTION;;3;
5XON;ELECTRON MICROSCOPY;;3,83;
5XOU;X-RAY DIFFRACTION;19;2,63;
5XOW;X-RAY DIFFRACTION;;2,902;
5XP8;X-RAY DIFFRACTION;;3,1;
5XPA;X-RAY DIFFRACTION;;2,9;
5XPG;X-RAY DIFFRACTION;23;2,8;
5XQ2;X-RAY DIFFRACTION;3;3,33;
5XRZ;X-RAY DIFFRACTION;;3,6;
5XS0;X-RAY DIFFRACTION;;3;
5XSK;X-RAY DIFFRACTION;;2,84;
5XUS;X-RAY DIFFRACTION;135;2,5;
5XUT;X-RAY DIFFRACTION;45;2,4;
5XUU;X-RAY DIFFRACTION;19;2,5;
5XUZ;X-RAY DIFFRACTION;455;2,4;
5XVN;X-RAY DIFFRACTION;2;3,25;
5XVO;X-RAY DIFFRACTION;14;3,1;
5XVP;X-RAY DIFFRACTION;2;3;
5XXP;X-RAY DIFFRACTION;2;2,55;
5XZB;X-RAY DIFFRACTION;66;2,13;
5XZE;X-RAY DIFFRACTION;82;2,177;
5XZG;X-RAY DIFFRACTION;180;1,828;
5Y0C;X-RAY DIFFRACTION;392;2,087;
5Y0D;X-RAY DIFFRACTION;509;1,99;
5Y36;ELECTRON MICROSCOPY;;5,2;
5Y3J;X-RAY DIFFRACTION;2078;1,81;
5Y3K;X-RAY DIFFRACTION;70;2,7;
5Y3L;X-RAY DIFFRACTION;87;2,6;
5Y3M;X-RAY DIFFRACTION;134;2,5;
5Y3R;ELECTRON MICROSCOPY;;6,6;
5Y7G;X-RAY DIFFRACTION;;3,4;
5Y7Q;X-RAY DIFFRACTION;9;2,7;
5YBB;X-RAY DIFFRACTION;;3,2;
5YBD;X-RAY DIFFRACTION;;2,769;
5YEF;X-RAY DIFFRACTION;;2,807;
5YEG;X-RAY DIFFRACTION;607;2;
5YEH;X-RAY DIFFRACTION;71;2,328;
5YEJ;X-RAY DIFFRACTION;4;2,698;
5YEL;X-RAY DIFFRACTION;;2,96;
5YI2;X-RAY DIFFRACTION;382;2,6;
5YI3;X-RAY DIFFRACTION;26;2,9;
5YIV;X-RAY DIFFRACTION;2;2,914;
5YIW;X-RAY DIFFRACTION;119;1,551;
5YJ3;X-RAY DIFFRACTION;;2,845;
5YTC;X-RAY DIFFRACTION;262;2,28;
5YTD;X-RAY DIFFRACTION;239;2;
5YTE;X-RAY DIFFRACTION;290;2,21;
5YTF;X-RAY DIFFRACTION;358;1,98;
5YTG;X-RAY DIFFRACTION;271;2,07;
5YTH;X-RAY DIFFRACTION;75;2,53;
5YTY;X-RAY DIFFRACTION;65;1,58;
5YTZ;X-RAY DIFFRACTION;100;1,55;
5YUR;X-RAY DIFFRACTION;434;2,035;
5YUS;X-RAY DIFFRACTION;682;1,94;
5YUT;X-RAY DIFFRACTION;547;2,15;
5YUU;X-RAY DIFFRACTION;472;1,892;
5YUV;X-RAY DIFFRACTION;483;2,06;
5YUW;X-RAY DIFFRACTION;522;2,124;
5YUX;X-RAY DIFFRACTION;540;2,04;
5YUY;X-RAY DIFFRACTION;999;1,74;
5YUZ;X-RAY DIFFRACTION;643;1,83;
5YV0;X-RAY DIFFRACTION;375;2,09;
5YV1;X-RAY DIFFRACTION;485;2,09;
5YV2;X-RAY DIFFRACTION;724;1,9;
5YV3;X-RAY DIFFRACTION;415;2,03;
5YWS;X-RAY DIFFRACTION;413;2;
5YWT;X-RAY DIFFRACTION;568;1,7;
5YWU;X-RAY DIFFRACTION;;3,4;
5YWV;X-RAY DIFFRACTION;174;2,3;
5YX2;X-RAY DIFFRACTION;75;2,653;
5YYD;X-RAY DIFFRACTION;395;2,05;
5YYE;X-RAY DIFFRACTION;97;2,325;
5YZY;X-RAY DIFFRACTION;;2,61;
5YZZ;X-RAY DIFFRACTION;;2,58;
5Z00;X-RAY DIFFRACTION;;2,587;
5Z23;X-RAY DIFFRACTION;;2,73;
5Z2T;X-RAY DIFFRACTION;11;2,623;
5Z30;X-RAY DIFFRACTION;60;2,45;
5Z3L;ELECTRON MICROSCOPY;;4,31;
5Z3N;X-RAY DIFFRACTION;498;1,91;
5Z3O;ELECTRON MICROSCOPY;;3,62;
5Z3U;ELECTRON MICROSCOPY;;4,31;
5Z3V;ELECTRON MICROSCOPY;;4,22;
5Z6W;X-RAY DIFFRACTION;1;3,2;
5Z6Z;X-RAY DIFFRACTION;94;2,301;
5Z7D;X-RAY DIFFRACTION;;4,5;
5Z7I;X-RAY DIFFRACTION;173;1,601;
5ZAD;X-RAY DIFFRACTION;90;2,54;
5ZBX;X-RAY DIFFRACTION;4;2,58;
5ZCW;X-RAY DIFFRACTION;339;2,7;
5ZD4;X-RAY DIFFRACTION;283;2,17;
5ZDZ;X-RAY DIFFRACTION;128;2,8;
5ZE0;X-RAY DIFFRACTION;169;2,75;
5ZE1;X-RAY DIFFRACTION;52;3;
5ZE2;X-RAY DIFFRACTION;10;3,3;
5ZEN;X-RAY DIFFRACTION;19;2,75;
5ZFW;X-RAY DIFFRACTION;214;2,103;
5ZFY;X-RAY DIFFRACTION;167;2,3;
5ZFZ;X-RAY DIFFRACTION;265;1,9;
5ZG9;X-RAY DIFFRACTION;134;2,04;
5ZGN;X-RAY DIFFRACTION;51;2,24;
5ZJQ;X-RAY DIFFRACTION;43;2,443;
5ZJR;X-RAY DIFFRACTION;;3,03;
5ZJS;X-RAY DIFFRACTION;3;2,896;
5ZJT;X-RAY DIFFRACTION;80;2,4;
5ZK1;X-RAY DIFFRACTION;;3,05;
5ZKI;X-RAY DIFFRACTION;111;2,321;
5ZKJ;X-RAY DIFFRACTION;50;2,798;
5ZKL;X-RAY DIFFRACTION;49;1,951;
5ZKM;X-RAY DIFFRACTION;80;1,65;
5ZKO;X-RAY DIFFRACTION;;3,05;
5ZLN;X-RAY DIFFRACTION;601;2,3;
5ZLV;X-RAY DIFFRACTION;444;2,35;
5ZMC;X-RAY DIFFRACTION;;2,99;
5ZMD;X-RAY DIFFRACTION;18;3,3;
5ZMN;X-RAY DIFFRACTION;3;3,29;
5ZMO;X-RAY DIFFRACTION;99;1,69;
5ZOE;X-RAY DIFFRACTION;175;1,95;
5ZOF;X-RAY DIFFRACTION;10;2,249;
5ZOG;X-RAY DIFFRACTION;85;2,299;
5ZQF;X-RAY DIFFRACTION;;3,873;
5ZR1;ELECTRON MICROSCOPY;;3;
5ZRF;X-RAY DIFFRACTION;524;2,3;
5ZU1;X-RAY DIFFRACTION;;3,009;
5ZUO;X-RAY DIFFRACTION;;2,902;
5ZUP;X-RAY DIFFRACTION;;2,9;
5ZUX;SOLUTION NMR;;;
5ZVA;X-RAY DIFFRACTION;115;2,3;
5ZVB;X-RAY DIFFRACTION;211;2;
5ZX2;X-RAY DIFFRACTION;47;2,8;
5ZYT;X-RAY DIFFRACTION;;2,702;
5ZYU;X-RAY DIFFRACTION;532;1,752;
5ZYV;X-RAY DIFFRACTION;13;2,72;
6A2H;X-RAY DIFFRACTION;17;2,3;
6A2I;X-RAY DIFFRACTION;2;2,4;
6A47;X-RAY DIFFRACTION;314;1,9;
6A4B;X-RAY DIFFRACTION;32;2,7;
6A57;X-RAY DIFFRACTION;79;2,7;
6A5L;ELECTRON MICROSCOPY;;5,6;
6A5N;X-RAY DIFFRACTION;40;2,4;
6A5O;ELECTRON MICROSCOPY;;9,9;
6A5P;ELECTRON MICROSCOPY;;7;
6A5R;ELECTRON MICROSCOPY;;8,7;
6A5T;ELECTRON MICROSCOPY;;6,7;
6A5U;ELECTRON MICROSCOPY;;7,6;
6A8R;X-RAY DIFFRACTION;116;1,6;
6AEB;X-RAY DIFFRACTION;1;3,004;
6AEG;X-RAY DIFFRACTION;122;2,701;
6AI6;X-RAY DIFFRACTION;36;2,7;
6AJO;X-RAY DIFFRACTION;15;2,269;
6AK8;X-RAY DIFFRACTION;393;1,74;
6AK9;X-RAY DIFFRACTION;384;1,91;
6AKH;X-RAY DIFFRACTION;461;1,75;
6AKO;X-RAY DIFFRACTION;10;2,396;
6AKP;X-RAY DIFFRACTION;16;2,323;
6ALF;ELECTRON MICROSCOPY;;4,1;
6ALG;ELECTRON MICROSCOPY;;3,7;
6ALH;ELECTRON MICROSCOPY;;4,4;
6AMA;X-RAY DIFFRACTION;;3,09;
6AMK;X-RAY DIFFRACTION;;3,288;
6AMO;X-RAY DIFFRACTION;653;2,497;
6AN2;X-RAY DIFFRACTION;615;2,7;
6AN8;X-RAY DIFFRACTION;695;2,596;
6ANQ;X-RAY DIFFRACTION;646;2,586;
6AR1;X-RAY DIFFRACTION;;3,01;
6AR3;X-RAY DIFFRACTION;;3,41;
6AS7;X-RAY DIFFRACTION;1;2,95;
6ASB;X-RAY DIFFRACTION;;2,85;
6ASD;X-RAY DIFFRACTION;58;1,85;
6ASW;X-RAY DIFFRACTION;643;2,605;
6ASX;ELECTRON MICROSCOPY;;3,8;
6AVM;X-RAY DIFFRACTION;661;2,502;
6AVT;X-RAY DIFFRACTION;628;2,603;
6B0O;X-RAY DIFFRACTION;362;1,552;
6B0P;X-RAY DIFFRACTION;323;2,077;
6B0Q;X-RAY DIFFRACTION;30;2,794;
6B0R;X-RAY DIFFRACTION;181;1,818;
6B1Q;X-RAY DIFFRACTION;274;1,9;
6B1R;X-RAY DIFFRACTION;220;1,69;
6B1S;X-RAY DIFFRACTION;265;2;
6B40;ELECTRON MICROSCOPY;;4,3;
6B44;ELECTRON MICROSCOPY;;2,9;
6B6H;ELECTRON MICROSCOPY;;3,9;
6BCE;X-RAY DIFFRACTION;278;1,75;
6BCF;X-RAY DIFFRACTION;;2,92;
6BCG;X-RAY DIFFRACTION;4;2,9;
6BCH;X-RAY DIFFRACTION;10;3;
6BCI;X-RAY DIFFRACTION;29;2,28;
6BCN;X-RAY DIFFRACTION;189;2,5;
6BCT;X-RAY DIFFRACTION;;2,73;
6BD0;X-RAY DIFFRACTION;744;1,45;
6BDA;X-RAY DIFFRACTION;470;1,88;
6BDB;X-RAY DIFFRACTION;583;1,5;
6BEK;X-RAY DIFFRACTION;337;1,7;
6BEL;X-RAY DIFFRACTION;504;1,898;
6BEM;X-RAY DIFFRACTION;524;1,88;
6BHX;X-RAY DIFFRACTION;31;2,936;
6BJS;ELECTRON MICROSCOPY;;5,5;
6BKF;X-RAY DIFFRACTION;3;3,25;
6BKG;X-RAY DIFFRACTION;114;2,402;
6BLO;X-RAY DIFFRACTION;;3,401;
6BLP;X-RAY DIFFRACTION;1;3,203;
6BLW;X-RAY DIFFRACTION;71;1,835;
6BM2;X-RAY DIFFRACTION;;3,403;
6BM4;X-RAY DIFFRACTION;;2,951;
6BOQ;X-RAY DIFFRACTION;219;1,96;
6BOR;X-RAY DIFFRACTION;564;1,84;
6BOS;X-RAY DIFFRACTION;200;2,304;
6BOT;X-RAY DIFFRACTION;225;2,3;
6BOU;X-RAY DIFFRACTION;60;2,538;
6BOV;X-RAY DIFFRACTION;281;1,975;
6BOW;X-RAY DIFFRACTION;524;1,59;
6BQF;X-RAY DIFFRACTION;;3,35;
6BQU;X-RAY DIFFRACTION;10;2,5;
6BRR;X-RAY DIFFRACTION;;2,97;
6BRX;X-RAY DIFFRACTION;230;2,8;
6BS1;X-RAY DIFFRACTION;25;3,15;
6BSE;X-RAY DIFFRACTION;104;2,35;
6BSF;X-RAY DIFFRACTION;13;2,4;
6BSG;X-RAY DIFFRACTION;132;2,44;
6BSH;X-RAY DIFFRACTION;115;2,649;
6BSI;X-RAY DIFFRACTION;5;3,25;
6BSJ;X-RAY DIFFRACTION;17;2,89;
6BTE;X-RAY DIFFRACTION;427;2,2;
6BTF;X-RAY DIFFRACTION;337;1,75;
6BUX;X-RAY DIFFRACTION;154;1,856;
6BUZ;ELECTRON MICROSCOPY;;3,92;
6BWY;X-RAY DIFFRACTION;57;2,9;
6BYY;X-RAY DIFFRACTION;198;2,3;
6BZ1;X-RAY DIFFRACTION;;2,97;
6BZO;ELECTRON MICROSCOPY;6;3,38;
6C04;ELECTRON MICROSCOPY;;3,27;
6C0W;ELECTRON MICROSCOPY;;4;
6C1A;X-RAY DIFFRACTION;115;2,05;
6C1T;X-RAY DIFFRACTION;41;1,84;
6C1U;X-RAY DIFFRACTION;25;2,3;
6C1V;X-RAY DIFFRACTION;29;2,3;
6C1Y;X-RAY DIFFRACTION;;2,3;
6C2F;X-RAY DIFFRACTION;;2,65;
6C2S;X-RAY DIFFRACTION;27;2,85;
6C31;X-RAY DIFFRACTION;;3;
6C66;ELECTRON MICROSCOPY;;3,66;
6C6S;ELECTRON MICROSCOPY;;3,7;
6C6T;ELECTRON MICROSCOPY;;3,5;
6C6U;ELECTRON MICROSCOPY;;3,7;
6CA0;ELECTRON MICROSCOPY;;5,75;
6CC8;X-RAY DIFFRACTION;64;1,95;
6CCE;X-RAY DIFFRACTION;;3,05;
6CCG;X-RAY DIFFRACTION;88;1,9;
6CCV;X-RAY DIFFRACTION;14;3,05;
6CEU;X-RAY DIFFRACTION;66;2,005;
6CEV;X-RAY DIFFRACTION;66;2,005;
6CFI;X-RAY DIFFRACTION;;3,36241919841;
6CG0;ELECTRON MICROSCOPY;;3,17;
6CG8;X-RAY DIFFRACTION;103;2,299;
6CHV;X-RAY DIFFRACTION;99;2,9;
6CIJ;ELECTRON MICROSCOPY;;3,9;
6CIK;X-RAY DIFFRACTION;7;3,15;
6CIL;X-RAY DIFFRACTION;;4,15;
6CIM;X-RAY DIFFRACTION;3;3,6;
6CLY;X-RAY DIFFRACTION;126;2,186;
6CNB;ELECTRON MICROSCOPY;;4,1;
6CNC;ELECTRON MICROSCOPY;;4,1;
6CND;ELECTRON MICROSCOPY;;4,8;
6CNF;ELECTRON MICROSCOPY;;4,5;
6CNP;X-RAY DIFFRACTION;34;2,1;
6CNQ;X-RAY DIFFRACTION;29;2,151;
6CPQ;X-RAY DIFFRACTION;415;1,93;
6CQ2;X-RAY DIFFRACTION;14;3,004;
6CQI;X-RAY DIFFRACTION;18;2,42;
6CR3;X-RAY DIFFRACTION;499;1,95;
6CR4;X-RAY DIFFRACTION;475;1,8;
6CR5;X-RAY DIFFRACTION;231;1,982;
6CR6;X-RAY DIFFRACTION;120;2,097;
6CR7;X-RAY DIFFRACTION;137;2,29;
6CR8;X-RAY DIFFRACTION;311;2,05;
6CR9;X-RAY DIFFRACTION;474;1,96;
6CRB;X-RAY DIFFRACTION;175;2,151;
6CRC;X-RAY DIFFRACTION;118;2,3;
6CRH;X-RAY DIFFRACTION;94;2,327;
6CRM;X-RAY DIFFRACTION;142;2,19286241172;
6CRO;X-RAY DIFFRACTION;7;3;
6CST;X-RAY DIFFRACTION;483;2;
6CT9;X-RAY DIFFRACTION;103;2,26;
6CTA;X-RAY DIFFRACTION;21;2,779;
6CTI;X-RAY DIFFRACTION;326;2,001;
6CTJ;X-RAY DIFFRACTION;209;2,1;
6CTK;X-RAY DIFFRACTION;228;2,153;
6CTL;X-RAY DIFFRACTION;298;2;
6CTM;X-RAY DIFFRACTION;255;2,101;
6CTN;X-RAY DIFFRACTION;450;1,92;
6CTO;X-RAY DIFFRACTION;293;2,04;
6CTP;X-RAY DIFFRACTION;107;2,2;
6CTQ;X-RAY DIFFRACTION;496;1,87;
6CTR;X-RAY DIFFRACTION;459;1,85;
6CTT;X-RAY DIFFRACTION;471;2;
6CTU;X-RAY DIFFRACTION;511;1,9;
6CTV;X-RAY DIFFRACTION;388;2,02;
6CTW;X-RAY DIFFRACTION;467;1,981;
6CTX;X-RAY DIFFRACTION;454;2,02;
6CU9;X-RAY DIFFRACTION;168;2,04;
6CUA;X-RAY DIFFRACTION;117;2,17;
6CUB;X-RAY DIFFRACTION;190;2,05;
6CUU;X-RAY DIFFRACTION;;2,994;
6CVO;X-RAY DIFFRACTION;404;2,4;
6CVP;X-RAY DIFFRACTION;510;1,999;
6CVQ;X-RAY DIFFRACTION;769;1,65;
6CVR;X-RAY DIFFRACTION;589;1,88;
6CVS;X-RAY DIFFRACTION;498;2,11;
6CVT;X-RAY DIFFRACTION;11;2,941;
6D0M;X-RAY DIFFRACTION;420;1,832;
6D0Z;X-RAY DIFFRACTION;374;1,75;
6D1T;X-RAY DIFFRACTION;;2,25;
6D5F;ELECTRON MICROSCOPY;;3.7, 3.7;
6D6V;ELECTRON MICROSCOPY;;4,8;
6D8A;X-RAY DIFFRACTION;421;2,251;
6D8F;X-RAY DIFFRACTION;642;2,15;
6D8P;X-RAY DIFFRACTION;720;2,1;
6D92;X-RAY DIFFRACTION;848;1,81;
6D95;X-RAY DIFFRACTION;665;1,85;
6D9K;X-RAY DIFFRACTION;354;2;
6D9L;X-RAY DIFFRACTION;139;2,6;
6DBI;ELECTRON MICROSCOPY;;3.36, 3.4;
6DBJ;ELECTRON MICROSCOPY;;2.99, 3;
6DBL;ELECTRON MICROSCOPY;;5.001, 5;
6DBO;ELECTRON MICROSCOPY;;4.45, 4.4;
6DBQ;ELECTRON MICROSCOPY;;4.22, 4.22;
6DBR;ELECTRON MICROSCOPY;;4, 4;
6DBT;ELECTRON MICROSCOPY;;4.3, 4.3;
6DBU;ELECTRON MICROSCOPY;;3.9, 3.9;
6DBV;ELECTRON MICROSCOPY;;4.291, 4.29;
6DBW;ELECTRON MICROSCOPY;;4.7, 4.7;
6DBX;ELECTRON MICROSCOPY;;4.2, 4.2;
6DCF;X-RAY DIFFRACTION;7;3,45;
6DF5;X-RAY DIFFRACTION;133;1,819;
6DF8;X-RAY DIFFRACTION;9;2,536;
6DF9;X-RAY DIFFRACTION;29;2,319;
6DFA;X-RAY DIFFRACTION;132;1,908;
6DFB;X-RAY DIFFRACTION;192;1,66;
6DFC;X-RAY DIFFRACTION;85;1,85;
6DFY;X-RAY DIFFRACTION;12;2,623;
6DG0;X-RAY DIFFRACTION;102;2,457;
6DGD;X-RAY DIFFRACTION;2;2,823;
6DIA;X-RAY DIFFRACTION;375;1,969;
6DIC;X-RAY DIFFRACTION;399;1,992;
6DKS;X-RAY DIFFRACTION;;2,78;
6DMN;X-RAY DIFFRACTION;171;1,27;
6DMV;X-RAY DIFFRACTION;175;1,52;
6DNW;X-RAY DIFFRACTION;9;2,849;
6DO8;X-RAY DIFFRACTION;186;1,414;
6DO9;X-RAY DIFFRACTION;187;1,36;
6DOA;X-RAY DIFFRACTION;194;1,474;
6DOB;X-RAY DIFFRACTION;196;1,343;
6DOC;X-RAY DIFFRACTION;193;1,496;
6DOD;X-RAY DIFFRACTION;196;1,535;
6DOE;X-RAY DIFFRACTION;196;1,451;
6DOF;X-RAY DIFFRACTION;196;1,433;
6DOG;X-RAY DIFFRACTION;196;1,285;
6DOH;X-RAY DIFFRACTION;173;1,363;
6DOI;X-RAY DIFFRACTION;164;1,948;
6DOJ;X-RAY DIFFRACTION;203;1,403;
6DOK;X-RAY DIFFRACTION;201;1,38;
6DOL;X-RAY DIFFRACTION;201;1,433;
6DOM;X-RAY DIFFRACTION;193;1,425;
6DON;X-RAY DIFFRACTION;193;1,422;
6DOO;X-RAY DIFFRACTION;184;1,44;
6DOP;X-RAY DIFFRACTION;174;1,25;
6DOQ;X-RAY DIFFRACTION;178;1,422;
6DOR;X-RAY DIFFRACTION;184;1,5;
